Pertanyaan,Jawaban
"Dimana lokasi atau provinsi CAHAYA ABADI?","CAHAYA ABADI berlokasi di Sulawesi Tengah."
"Apa kualifikasi perusahaan untuk CAHAYA ABADI?","Kualifikasi perusahaan CAHAYA ABADI adalah CV."
"Siapa SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: BS007."
"Bagaimana status rekanan SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA memiliki status rekanan Registered."
"Apa bidang usaha SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk SUKSES JAYA MANDIRI PERKASA?","Kualifikasi perusahaan SUKSES JAYA MANDIRI PERKASA adalah PT."
"Siapa PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Riau. Kode SBU: BG003."
"Bagaimana status rekanan PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI memiliki status rekanan Unverified."
"Apa bidang usaha PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (UNKNOWN-DATA INCOMPLETE)."
"Dimana lokasi atau provinsi PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI berlokasi di Riau."
"Apa kualifikasi perusahaan untuk PIJAR CEMERLANG KONSTRUKSI?","Kualifikasi perusahaan PIJAR CEMERLANG KONSTRUKSI adalah PT."
"Siapa DASA MULTI KREASI?","DASA MULTI KREASI adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta. Kode SBU: PB010."
"Bagaimana status rekanan DASA MULTI KREASI?","DASA MULTI KREASI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha DASA MULTI KREASI?","DASA MULTI KREASI bergerak di bidang Sub Kontraktor Besar (GEOMEMBRANE , GEOTEXTILE , PVD & PHD, MANDOR ;)."
"Dimana lokasi atau provinsi DASA MULTI KREASI?","DASA MULTI KREASI berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk DASA MULTI KREASI?","Kualifikasi perusahaan DASA MULTI KREASI adalah PT."
"Siapa CARAKA REKA KARSA?","CARAKA REKA KARSA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier, berlokasi di Jawa Barat. Kode SBU: BG002."
"Bagaimana status rekanan CARAKA REKA KARSA?","CARAKA REKA KARSA memiliki status rekanan Unverified."
"Apa bidang usaha CARAKA REKA KARSA?","CARAKA REKA KARSA bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi CARAKA REKA KARSA?","CARAKA REKA KARSA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk CARAKA REKA KARSA?","Kualifikasi perusahaan CARAKA REKA KARSA adalah PT."
"Siapa WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta. Kode SBU: IN001."
"Bagaimana status rekanan WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG bergerak di bidang Sub Kontraktor Besar (ELEVATOR , ESCALATOR & TRAVELATOR, SUPPLIER ;)."
"Dimana lokasi atau provinsi WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk WIJAYA KARYA PRACETAK GEDUNG?","Kualifikasi perusahaan WIJAYA KARYA PRACETAK GEDUNG adalah PT."
"Siapa DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta. Kode SBU: BS007."
"Bagaimana status rekanan DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA bergerak di bidang Sub Kontraktor Besar (CLEARING & GRUBBING, SUBKON ;)."
"Dimana lokasi atau provinsi DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk DUTA KARYA TEKNIK PERDANA?","Kualifikasi perusahaan DUTA KARYA TEKNIK PERDANA adalah PT."
"Siapa GRAHA UTAMA?","GRAHA UTAMA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan GRAHA UTAMA?","GRAHA UTAMA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha GRAHA UTAMA?","GRAHA UTAMA bergerak di bidang Supplier Menengah (BBM / BAHAN BAKAR MINYAK, SUPPLIER)."
"Dimana lokasi atau provinsi GRAHA UTAMA?","GRAHA UTAMA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk GRAHA UTAMA?","Kualifikasi perusahaan GRAHA UTAMA adalah PT."
"Siapa Hayana Solindo Utama?","Hayana Solindo Utama adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BG002."
"Bagaimana status rekanan Hayana Solindo Utama?","Hayana Solindo Utama memiliki status rekanan Unverified."
"Apa bidang usaha Hayana Solindo Utama?","Hayana Solindo Utama bergerak di bidang Sub Kontraktor Kecil dan Menengah (ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;)."
"Dimana lokasi atau provinsi Hayana Solindo Utama?","Hayana Solindo Utama berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Hayana Solindo Utama?","Kualifikasi perusahaan Hayana Solindo Utama adalah PT."
"Siapa AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur. Kode SBU: BS004."
"Bagaimana status rekanan AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA bergerak di bidang Sub Kontraktor Kecil dan Menengah (LANDSCAPE, MANDOR ;)."
"Dimana lokasi atau provinsi AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk AGUNG LAKSANA INDONESIA?","Kualifikasi perusahaan AGUNG LAKSANA INDONESIA adalah CV."
"Siapa MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI adalah vendor dengan status Registered, kualifikasi CV, di bidang Supplier Menengah, berlokasi di Jawa Tengah. Kode SBU: BS002."
"Bagaimana status rekanan MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI memiliki status rekanan Registered."
"Apa bidang usaha MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk MAHKOTA PILAR ABADI?","Kualifikasi perusahaan MAHKOTA PILAR ABADI adalah CV."
"Siapa GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA adalah vendor dengan status Unverified, kualifikasi CV, di bidang Supplier Menengah, berlokasi di Sumatera Selatan. Kode SBU: BS010."
"Bagaimana status rekanan GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA memiliki status rekanan Unverified."
"Apa bidang usaha GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA bergerak di bidang Supplier Menengah (PAVING BLOCK, SUPPLIER ;)."
"Dimana lokasi atau provinsi GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA berlokasi di Sumatera Selatan."
"Apa kualifikasi perusahaan untuk GODAM SOLUSI INDONESIA?","Kualifikasi perusahaan GODAM SOLUSI INDONESIA adalah CV."
"Siapa MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA bergerak di bidang Sub Kontraktor Besar (BORED PILE & SOLDIER PILE, SUBKON)."
"Dimana lokasi atau provinsi MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk MITRA TUJUH PRAKASA?","Kualifikasi perusahaan MITRA TUJUH PRAKASA adalah PT."
"Siapa Intisar Soluzindo?","Intisar Soluzindo adalah vendor dengan status Registered, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: IN006."
"Bagaimana status rekanan Intisar Soluzindo?","Intisar Soluzindo memiliki status rekanan Registered."
"Apa bidang usaha Intisar Soluzindo?","Intisar Soluzindo bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi Intisar Soluzindo?","Intisar Soluzindo berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Intisar Soluzindo?","Kualifikasi perusahaan Intisar Soluzindo adalah PT."
"Siapa MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BG003."
"Bagaimana status rekanan MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk MARJAN TUGU PUTRA?","Kualifikasi perusahaan MARJAN TUGU PUTRA adalah PT."
"Siapa RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: IN002."
"Bagaimana status rekanan RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA bergerak di bidang Sub Kontraktor Kecil dan Menengah (JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;)."
"Dimana lokasi atau provinsi RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk RAS OTOMASI INDONESIA?","Kualifikasi perusahaan RAS OTOMASI INDONESIA adalah PT."
"Siapa Lapi Ganesha Utama?","Lapi Ganesha Utama adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: AR002."
"Bagaimana status rekanan Lapi Ganesha Utama?","Lapi Ganesha Utama memiliki status rekanan Registered."
"Apa bidang usaha Lapi Ganesha Utama?","Lapi Ganesha Utama bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi Lapi Ganesha Utama?","Lapi Ganesha Utama berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Lapi Ganesha Utama?","Kualifikasi perusahaan Lapi Ganesha Utama adalah PT."
"Siapa Zysco Internasional?","Zysco Internasional adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Timur. Kode SBU: BG009."
"Bagaimana status rekanan Zysco Internasional?","Zysco Internasional memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha Zysco Internasional?","Zysco Internasional bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (TRUCK TRAILER & TRAILER LOWBOY / TRAILER LOWBED, SEWA)."
"Dimana lokasi atau provinsi Zysco Internasional?","Zysco Internasional berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk Zysco Internasional?","Kualifikasi perusahaan Zysco Internasional adalah PT."
"Siapa Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera memiliki status rekanan Registered."
"Apa bidang usaha Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Manasya Anugerah Sejahtera?","Kualifikasi perusahaan Manasya Anugerah Sejahtera adalah PT."
"Siapa TEGUH PUTRA SEJAHTERA?","TEGUH PUTRA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di Riau. Kode SBU: BS002."
"Bagaimana status rekanan TEGUH PUTRA SEJAHTERA?","TEGUH PUTRA SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha TEGUH PUTRA SEJAHTERA?","TEGUH PUTRA SEJAHTERA bergerak di bidang Sub Kontraktor Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi TEGUH PUTRA SEJAHTERA?","TEGUH PUTRA SEJAHTERA berlokasi di Riau."
"Apa kualifikasi perusahaan untuk TEGUH PUTRA SEJAHTERA?","Kualifikasi perusahaan TEGUH PUTRA SEJAHTERA adalah PT."
"Siapa TAKALLUF ANDALAN PRATAMA?","TAKALLUF ANDALAN PRATAMA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Jawa Tengah. Kode SBU: BG009."
"Bagaimana status rekanan TAKALLUF ANDALAN PRATAMA?","TAKALLUF ANDALAN PRATAMA memiliki status rekanan Unverified."
"Apa bidang usaha TAKALLUF ANDALAN PRATAMA?","TAKALLUF ANDALAN PRATAMA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (ALUMINIUM, SUBKON ;)."
"Dimana lokasi atau provinsi TAKALLUF ANDALAN PRATAMA?","TAKALLUF ANDALAN PRATAMA berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk TAKALLUF ANDALAN PRATAMA?","Kualifikasi perusahaan TAKALLUF ANDALAN PRATAMA adalah PT."
"Siapa Guriko Abadi Sejahtera?","Guriko Abadi Sejahtera adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Sumatera Utara. Kode SBU: BS001."
"Bagaimana status rekanan Guriko Abadi Sejahtera?","Guriko Abadi Sejahtera memiliki status rekanan Unverified."
"Apa bidang usaha Guriko Abadi Sejahtera?","Guriko Abadi Sejahtera bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi Guriko Abadi Sejahtera?","Guriko Abadi Sejahtera berlokasi di Sumatera Utara."
"Apa kualifikasi perusahaan untuk Guriko Abadi Sejahtera?","Kualifikasi perusahaan Guriko Abadi Sejahtera adalah PT."
"Siapa SAWARNA PRATAMA JAYA?","SAWARNA PRATAMA JAYA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor, berlokasi di DI Aceh. Kode SBU: BG009."
"Bagaimana status rekanan SAWARNA PRATAMA JAYA?","SAWARNA PRATAMA JAYA memiliki status rekanan Unverified."
"Apa bidang usaha SAWARNA PRATAMA JAYA?","SAWARNA PRATAMA JAYA bergerak di bidang Sub Kontraktor (Tidak diketahui)."
"Dimana lokasi atau provinsi SAWARNA PRATAMA JAYA?","SAWARNA PRATAMA JAYA berlokasi di DI Aceh."
"Apa kualifikasi perusahaan untuk SAWARNA PRATAMA JAYA?","Kualifikasi perusahaan SAWARNA PRATAMA JAYA adalah PT."
"Siapa LEN REKAPRIMA SEMESTA?","LEN REKAPRIMA SEMESTA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat. Kode SBU: BS003."
"Bagaimana status rekanan LEN REKAPRIMA SEMESTA?","LEN REKAPRIMA SEMESTA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha LEN REKAPRIMA SEMESTA?","LEN REKAPRIMA SEMESTA bergerak di bidang Sub Kontraktor Kecil dan Menengah (GALIAN & TIMBUNAN, SUBKON)."
"Dimana lokasi atau provinsi LEN REKAPRIMA SEMESTA?","LEN REKAPRIMA SEMESTA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk LEN REKAPRIMA SEMESTA?","Kualifikasi perusahaan LEN REKAPRIMA SEMESTA adalah PT."
"Siapa PT ALPHA OMEGA NUSANTARA?","PT ALPHA OMEGA NUSANTARA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di DKI Jakarta. Kode SBU: IN007."
"Bagaimana status rekanan PT ALPHA OMEGA NUSANTARA?","PT ALPHA OMEGA NUSANTARA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PT ALPHA OMEGA NUSANTARA?","PT ALPHA OMEGA NUSANTARA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (BBM / BAHAN BAKAR MINYAK, SUPPLIER)."
"Dimana lokasi atau provinsi PT ALPHA OMEGA NUSANTARA?","PT ALPHA OMEGA NUSANTARA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PT ALPHA OMEGA NUSANTARA?","Kualifikasi perusahaan PT ALPHA OMEGA NUSANTARA adalah PT."
"Siapa Kinasih Konsultama?","Kinasih Konsultama adalah vendor dengan status Unverified, kualifikasi PT, di bidang Konsultan Konstruksi, berlokasi di DKI Jakarta. Kode SBU: BG009."
"Bagaimana status rekanan Kinasih Konsultama?","Kinasih Konsultama memiliki status rekanan Unverified."
"Apa bidang usaha Kinasih Konsultama?","Kinasih Konsultama bergerak di bidang Konsultan Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi Kinasih Konsultama?","Kinasih Konsultama berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Kinasih Konsultama?","Kualifikasi perusahaan Kinasih Konsultama adalah PT."
"Siapa SUMAPUTRA BANGUN ABADI?","SUMAPUTRA BANGUN ABADI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur. Kode SBU: BG009."
"Bagaimana status rekanan SUMAPUTRA BANGUN ABADI?","SUMAPUTRA BANGUN ABADI memiliki status rekanan Unverified."
"Apa bidang usaha SUMAPUTRA BANGUN ABADI?","SUMAPUTRA BANGUN ABADI bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi SUMAPUTRA BANGUN ABADI?","SUMAPUTRA BANGUN ABADI berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk SUMAPUTRA BANGUN ABADI?","Kualifikasi perusahaan SUMAPUTRA BANGUN ABADI adalah PT."
"Siapa FAJIA MANDIRI?","FAJIA MANDIRI adalah vendor dengan status Rekanan Terdaftar, kualifikasi CV, di bidang Sewa Alat, berlokasi di DI Aceh. Kode SBU: BG009."
"Bagaimana status rekanan FAJIA MANDIRI?","FAJIA MANDIRI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha FAJIA MANDIRI?","FAJIA MANDIRI bergerak di bidang Sewa Alat (BULLDOZER / DOZER, SEWA ;)."
"Dimana lokasi atau provinsi FAJIA MANDIRI?","FAJIA MANDIRI berlokasi di DI Aceh."
"Apa kualifikasi perusahaan untuk FAJIA MANDIRI?","Kualifikasi perusahaan FAJIA MANDIRI adalah CV."
"Siapa ANDEMA MAKMUR SEJAHTERA?","ANDEMA MAKMUR SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, kualifikasi CV, di bidang Supplier Menengah, berlokasi di Jawa Tengah. Kode SBU: BG003."
"Bagaimana status rekanan ANDEMA MAKMUR SEJAHTERA?","ANDEMA MAKMUR SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ANDEMA MAKMUR SEJAHTERA?","ANDEMA MAKMUR SEJAHTERA bergerak di bidang Supplier Menengah (ALAT & MATERIAL BANTU PROYEK, SUPPLIER)."
"Dimana lokasi atau provinsi ANDEMA MAKMUR SEJAHTERA?","ANDEMA MAKMUR SEJAHTERA berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk ANDEMA MAKMUR SEJAHTERA?","Kualifikasi perusahaan ANDEMA MAKMUR SEJAHTERA adalah CV."
"Siapa CITY-AD EXPO INDONESIA?","CITY-AD EXPO INDONESIA adalah vendor dengan status Rekanan Terdaftar, kualifikasi CV, di bidang Supplier Besar,, berlokasi di DKI Jakarta. Kode SBU: BG002."
"Bagaimana status rekanan CITY-AD EXPO INDONESIA?","CITY-AD EXPO INDONESIA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha CITY-AD EXPO INDONESIA?","CITY-AD EXPO INDONESIA bergerak di bidang Supplier Besar, (ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;)."
"Dimana lokasi atau provinsi CITY-AD EXPO INDONESIA?","CITY-AD EXPO INDONESIA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk CITY-AD EXPO INDONESIA?","Kualifikasi perusahaan CITY-AD EXPO INDONESIA adalah CV."
"Siapa BAWOGANOWO MAJU JAYA?","BAWOGANOWO MAJU JAYA adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Jawa Barat. Kode SBU: BS004."
"Bagaimana status rekanan BAWOGANOWO MAJU JAYA?","BAWOGANOWO MAJU JAYA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha BAWOGANOWO MAJU JAYA?","BAWOGANOWO MAJU JAYA bergerak di bidang Supplier Menengah (BEKISTING AKSESORIS / KOMPONEN, SUPPLIER)."
"Dimana lokasi atau provinsi BAWOGANOWO MAJU JAYA?","BAWOGANOWO MAJU JAYA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk BAWOGANOWO MAJU JAYA?","Kualifikasi perusahaan BAWOGANOWO MAJU JAYA adalah PT."
"Siapa BASUNDA BANGUN JAYAMAKMUR?","BASUNDA BANGUN JAYAMAKMUR adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan BASUNDA BANGUN JAYAMAKMUR?","BASUNDA BANGUN JAYAMAKMUR memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BASUNDA BANGUN JAYAMAKMUR?","BASUNDA BANGUN JAYAMAKMUR bergerak di bidang Supplier Besar (POMPA AIR BERSIH & AIR KOTOR, SUPPLIER)."
"Dimana lokasi atau provinsi BASUNDA BANGUN JAYAMAKMUR?","BASUNDA BANGUN JAYAMAKMUR berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk BASUNDA BANGUN JAYAMAKMUR?","Kualifikasi perusahaan BASUNDA BANGUN JAYAMAKMUR adalah PT."
"Siapa PETRA PENIDA ENERGI INDONESIA?","PETRA PENIDA ENERGI INDONESIA adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat. Kode SBU: RT001."
"Bagaimana status rekanan PETRA PENIDA ENERGI INDONESIA?","PETRA PENIDA ENERGI INDONESIA memiliki status rekanan Registered."
"Apa bidang usaha PETRA PENIDA ENERGI INDONESIA?","PETRA PENIDA ENERGI INDONESIA bergerak di bidang Sub Kontraktor Kecil dan Menengah (ELECTRICAL & CABLE POWER , SUPPLIER ;)."
"Dimana lokasi atau provinsi PETRA PENIDA ENERGI INDONESIA?","PETRA PENIDA ENERGI INDONESIA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk PETRA PENIDA ENERGI INDONESIA?","Kualifikasi perusahaan PETRA PENIDA ENERGI INDONESIA adalah PT."
"Siapa ONI UTAMA SUKSES?","ONI UTAMA SUKSES adalah vendor dengan status Waiting List Dokumen, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: IN001."
"Bagaimana status rekanan ONI UTAMA SUKSES?","ONI UTAMA SUKSES memiliki status rekanan Waiting List Dokumen."
"Apa bidang usaha ONI UTAMA SUKSES?","ONI UTAMA SUKSES bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (TIKET, TOUR & TRAVEL)."
"Dimana lokasi atau provinsi ONI UTAMA SUKSES?","ONI UTAMA SUKSES berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk ONI UTAMA SUKSES?","Kualifikasi perusahaan ONI UTAMA SUKSES adalah PT."
"Siapa Cahaya Indo Prima?","Cahaya Indo Prima adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Banten. Kode SBU: BS009."
"Bagaimana status rekanan Cahaya Indo Prima?","Cahaya Indo Prima memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha Cahaya Indo Prima?","Cahaya Indo Prima bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (PERALATAN PENGUKURAN & ALAT BANTU SURVEY, SUPPLIER)."
"Dimana lokasi atau provinsi Cahaya Indo Prima?","Cahaya Indo Prima berlokasi di Banten."
"Apa kualifikasi perusahaan untuk Cahaya Indo Prima?","Kualifikasi perusahaan Cahaya Indo Prima adalah PT."
"Siapa MAGDATAMA KARYA USAHA?","MAGDATAMA KARYA USAHA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Besar, berlokasi di Jawa Timur. Kode SBU: BS002."
"Bagaimana status rekanan MAGDATAMA KARYA USAHA?","MAGDATAMA KARYA USAHA memiliki status rekanan Unverified."
"Apa bidang usaha MAGDATAMA KARYA USAHA?","MAGDATAMA KARYA USAHA bergerak di bidang Supplier Besar (CATERING)."
