Pertanyaan,Jawaban
"Siapa PESONA TAMANINDO?","PESONA TAMANINDO adalah vendor dengan status Registered, di bidang Sub Kontraktor Besar, berlokasi di Jawa Barat West Java. Kode SBU: PB010."
"Apa status rekanan PESONA TAMANINDO?","PESONA TAMANINDO memiliki status rekanan Registered."
"Apa bidang usaha PESONA TAMANINDO?","PESONA TAMANINDO bergerak di bidang Sub Kontraktor Besar."
"Dimana lokasi PESONA TAMANINDO?","PESONA TAMANINDO berlokasi di Jawa Barat West Java."
"Cari vendor PESONA TAMANINDO","PESONA TAMANINDO adalah vendor dengan status Registered, di bidang Sub Kontraktor Besar, berlokasi di Jawa Barat West Java. Kode SBU: PB010."
"Berikan informasi lengkap tentang PESONA TAMANINDO","PESONA TAMANINDO adalah vendor dengan status Registered, di bidang Sub Kontraktor Besar, berlokasi di Jawa Barat West Java. Kode SBU: PB010."
"Siapa CAHAYA ABADI?","CAHAYA ABADI adalah vendor dengan status Registered, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Sulawesi Tengah Cent. Industry: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;. Kode SBU: BG001."
"Apa status rekanan CAHAYA ABADI?","CAHAYA ABADI memiliki status rekanan Registered."
"Apa bidang usaha CAHAYA ABADI?","CAHAYA ABADI bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)."
"Dimana lokasi CAHAYA ABADI?","CAHAYA ABADI berlokasi di Sulawesi Tengah Cent."
"Apa industry key CAHAYA ABADI?","CAHAYA ABADI memiliki industry key: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;."
"Cari vendor CAHAYA ABADI","CAHAYA ABADI adalah vendor dengan status Registered, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Sulawesi Tengah Cent. Industry: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;. Kode SBU: BG001."
"Berikan informasi lengkap tentang CAHAYA ABADI","CAHAYA ABADI adalah vendor dengan status Registered, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Sulawesi Tengah Cent. Industry: AGREGAT & BATU PECAH / BELAH, SUPPLIER ;. Kode SBU: BG001."
"Siapa SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: BS007."
"Apa status rekanan SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA memiliki status rekanan Registered."
"Apa bidang usaha SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi SUKSES JAYA MANDIRI PERKASA?","SUKSES JAYA MANDIRI PERKASA berlokasi di Banten."
"Cari vendor SUKSES JAYA MANDIRI PERKASA","SUKSES JAYA MANDIRI PERKASA adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: BS007."
"Berikan informasi lengkap tentang SUKSES JAYA MANDIRI PERKASA","SUKSES JAYA MANDIRI PERKASA adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: BS007."
"Siapa PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI adalah vendor dengan status Unverified, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Riau Riau. Industry: UNKNOWN-DATA INCOMPLETE. Kode SBU: BG003."
"Apa status rekanan PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI memiliki status rekanan Unverified."
"Apa bidang usaha PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI berlokasi di Riau Riau."
"Apa industry key PIJAR CEMERLANG KONSTRUKSI?","PIJAR CEMERLANG KONSTRUKSI memiliki industry key: UNKNOWN-DATA INCOMPLETE."
"Cari vendor PIJAR CEMERLANG KONSTRUKSI","PIJAR CEMERLANG KONSTRUKSI adalah vendor dengan status Unverified, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Riau Riau. Industry: UNKNOWN-DATA INCOMPLETE. Kode SBU: BG003."
"Berikan informasi lengkap tentang PIJAR CEMERLANG KONSTRUKSI","PIJAR CEMERLANG KONSTRUKSI adalah vendor dengan status Unverified, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Riau Riau. Industry: UNKNOWN-DATA INCOMPLETE. Kode SBU: BG003."
"Siapa DASA MULTI KREASI?","DASA MULTI KREASI adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 61 High Risk (Version 3). Industry: GEOMEMBRANE , GEOTEXTILE , PVD & PHD, MANDOR ;. Kode SBU: PB010."
"Apa status rekanan DASA MULTI KREASI?","DASA MULTI KREASI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha DASA MULTI KREASI?","DASA MULTI KREASI bergerak di bidang Sub Kontraktor Besar."
"Dimana lokasi DASA MULTI KREASI?","DASA MULTI KREASI berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS DASA MULTI KREASI?","DASA MULTI KREASI memiliki status CQSMS: Sub Kontraktor : 61 High Risk (Version 3)."
"Apa industry key DASA MULTI KREASI?","DASA MULTI KREASI memiliki industry key: GEOMEMBRANE , GEOTEXTILE , PVD & PHD, MANDOR ;."
"Cari vendor DASA MULTI KREASI","DASA MULTI KREASI adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 61 High Risk (Version 3). Industry: GEOMEMBRANE , GEOTEXTILE , PVD & PHD, MANDOR ;. Kode SBU: PB010."
"Berikan informasi lengkap tentang DASA MULTI KREASI","DASA MULTI KREASI adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 61 High Risk (Version 3). Industry: GEOMEMBRANE , GEOTEXTILE , PVD & PHD, MANDOR ;. Kode SBU: PB010."
"Siapa CARAKA REKA KARSA?","CARAKA REKA KARSA adalah vendor dengan status Unverified, di bidang Supplier, berlokasi di Jawa Barat West Java. Kode SBU: BG002."
"Apa status rekanan CARAKA REKA KARSA?","CARAKA REKA KARSA memiliki status rekanan Unverified."
"Apa bidang usaha CARAKA REKA KARSA?","CARAKA REKA KARSA bergerak di bidang Supplier."
"Dimana lokasi CARAKA REKA KARSA?","CARAKA REKA KARSA berlokasi di Jawa Barat West Java."
"Cari vendor CARAKA REKA KARSA","CARAKA REKA KARSA adalah vendor dengan status Unverified, di bidang Supplier, berlokasi di Jawa Barat West Java. Kode SBU: BG002."
"Berikan informasi lengkap tentang CARAKA REKA KARSA","CARAKA REKA KARSA adalah vendor dengan status Unverified, di bidang Supplier, berlokasi di Jawa Barat West Java. Kode SBU: BG002."
"Siapa WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 1). Industry: ELEVATOR , ESCALATOR & TRAVELATOR, SUPPLIER ;. Kode SBU: IN001."
"Apa status rekanan WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG bergerak di bidang Sub Kontraktor Besar."
"Dimana lokasi WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG memiliki status CQSMS: Sub Kontraktor : 83 High Risk (Version 1)."
"Apa industry key WIJAYA KARYA PRACETAK GEDUNG?","WIJAYA KARYA PRACETAK GEDUNG memiliki industry key: ELEVATOR , ESCALATOR & TRAVELATOR, SUPPLIER ;."
"Cari vendor WIJAYA KARYA PRACETAK GEDUNG","WIJAYA KARYA PRACETAK GEDUNG adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 1). Industry: ELEVATOR , ESCALATOR & TRAVELATOR, SUPPLIER ;. Kode SBU: IN001."
"Berikan informasi lengkap tentang WIJAYA KARYA PRACETAK GEDUNG","WIJAYA KARYA PRACETAK GEDUNG adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 1). Industry: ELEVATOR , ESCALATOR & TRAVELATOR, SUPPLIER ;. Kode SBU: IN001."
"Siapa DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 3). Industry: CLEARING & GRUBBING, SUBKON ;. Kode SBU: BS007."
"Apa status rekanan DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA bergerak di bidang Sub Kontraktor Besar."
"Dimana lokasi DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA memiliki status CQSMS: Sub Kontraktor : 83 High Risk (Version 3)."
"Apa industry key DUTA KARYA TEKNIK PERDANA?","DUTA KARYA TEKNIK PERDANA memiliki industry key: CLEARING & GRUBBING, SUBKON ;."
"Cari vendor DUTA KARYA TEKNIK PERDANA","DUTA KARYA TEKNIK PERDANA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 3). Industry: CLEARING & GRUBBING, SUBKON ;. Kode SBU: BS007."
"Berikan informasi lengkap tentang DUTA KARYA TEKNIK PERDANA","DUTA KARYA TEKNIK PERDANA adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 83 High Risk (Version 3). Industry: CLEARING & GRUBBING, SUBKON ;. Kode SBU: BS007."
"Siapa GRAHA UTAMA?","GRAHA UTAMA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 95 High Risk (Version 3). Industry: BBM / BAHAN BAKAR MINYAK, SUPPLIER. Kode SBU: BS004."
"Apa status rekanan GRAHA UTAMA?","GRAHA UTAMA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha GRAHA UTAMA?","GRAHA UTAMA bergerak di bidang Supplier Menengah."
"Dimana lokasi GRAHA UTAMA?","GRAHA UTAMA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS GRAHA UTAMA?","GRAHA UTAMA memiliki status CQSMS: Supplier : 95 High Risk (Version 3)."
"Apa industry key GRAHA UTAMA?","GRAHA UTAMA memiliki industry key: BBM / BAHAN BAKAR MINYAK, SUPPLIER."
"Cari vendor GRAHA UTAMA","GRAHA UTAMA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 95 High Risk (Version 3). Industry: BBM / BAHAN BAKAR MINYAK, SUPPLIER. Kode SBU: BS004."
"Berikan informasi lengkap tentang GRAHA UTAMA","GRAHA UTAMA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 95 High Risk (Version 3). Industry: BBM / BAHAN BAKAR MINYAK, SUPPLIER. Kode SBU: BS004."
"Siapa Hayana Solindo Utama?","Hayana Solindo Utama adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: BG002."
"Apa status rekanan Hayana Solindo Utama?","Hayana Solindo Utama memiliki status rekanan Unverified."
"Apa bidang usaha Hayana Solindo Utama?","Hayana Solindo Utama bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi Hayana Solindo Utama?","Hayana Solindo Utama berlokasi di DKI Jakarta Jakarta."
"Apa industry key Hayana Solindo Utama?","Hayana Solindo Utama memiliki industry key: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;."
"Cari vendor Hayana Solindo Utama","Hayana Solindo Utama adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: BG002."
"Berikan informasi lengkap tentang Hayana Solindo Utama","Hayana Solindo Utama adalah vendor dengan status Unverified, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Industry: ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;. Kode SBU: BG002."
"Siapa AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Industry: LANDSCAPE, MANDOR ;. Kode SBU: BS004."
"Apa status rekanan AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA berlokasi di Jawa Timur East Java."
"Apa industry key AGUNG LAKSANA INDONESIA?","AGUNG LAKSANA INDONESIA memiliki industry key: LANDSCAPE, MANDOR ;."
"Cari vendor AGUNG LAKSANA INDONESIA","AGUNG LAKSANA INDONESIA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Industry: LANDSCAPE, MANDOR ;. Kode SBU: BS004."
"Berikan informasi lengkap tentang AGUNG LAKSANA INDONESIA","AGUNG LAKSANA INDONESIA adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur East Java. Industry: LANDSCAPE, MANDOR ;. Kode SBU: BS004."
"Siapa MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Kode SBU: BS002."
"Apa status rekanan MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI memiliki status rekanan Registered."
"Apa bidang usaha MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI bergerak di bidang Supplier Menengah."
"Dimana lokasi MAHKOTA PILAR ABADI?","MAHKOTA PILAR ABADI berlokasi di Jawa Tengah Central."
"Cari vendor MAHKOTA PILAR ABADI","MAHKOTA PILAR ABADI adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Kode SBU: BS002."
"Berikan informasi lengkap tentang MAHKOTA PILAR ABADI","MAHKOTA PILAR ABADI adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Kode SBU: BS002."
"Siapa GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Sumatera Selatan Sou. Industry: PAVING BLOCK, SUPPLIER ;. Kode SBU: BS010."
"Apa status rekanan GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA memiliki status rekanan Unverified."
"Apa bidang usaha GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA bergerak di bidang Supplier Menengah."
"Dimana lokasi GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA berlokasi di Sumatera Selatan Sou."
"Apa industry key GODAM SOLUSI INDONESIA?","GODAM SOLUSI INDONESIA memiliki industry key: PAVING BLOCK, SUPPLIER ;."
"Cari vendor GODAM SOLUSI INDONESIA","GODAM SOLUSI INDONESIA adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Sumatera Selatan Sou. Industry: PAVING BLOCK, SUPPLIER ;. Kode SBU: BS010."
"Berikan informasi lengkap tentang GODAM SOLUSI INDONESIA","GODAM SOLUSI INDONESIA adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Sumatera Selatan Sou. Industry: PAVING BLOCK, SUPPLIER ;. Kode SBU: BS010."
"Siapa MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 59 Low Risk (Version 1). Industry: BORED PILE & SOLDIER PILE, SUBKON. Kode SBU: BS001."
"Apa status rekanan MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA bergerak di bidang Sub Kontraktor Besar."
"Dimana lokasi MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA memiliki status CQSMS: Sub Kontraktor : 59 Low Risk (Version 1)."
"Apa industry key MITRA TUJUH PRAKASA?","MITRA TUJUH PRAKASA memiliki industry key: BORED PILE & SOLDIER PILE, SUBKON."
"Cari vendor MITRA TUJUH PRAKASA","MITRA TUJUH PRAKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 59 Low Risk (Version 1). Industry: BORED PILE & SOLDIER PILE, SUBKON. Kode SBU: BS001."
"Berikan informasi lengkap tentang MITRA TUJUH PRAKASA","MITRA TUJUH PRAKASA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 59 Low Risk (Version 1). Industry: BORED PILE & SOLDIER PILE, SUBKON. Kode SBU: BS001."
"Siapa Intisar Soluzindo?","Intisar Soluzindo adalah vendor dengan status Registered, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Kode SBU: IN006."
"Apa status rekanan Intisar Soluzindo?","Intisar Soluzindo memiliki status rekanan Registered."
"Apa bidang usaha Intisar Soluzindo?","Intisar Soluzindo bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi Intisar Soluzindo?","Intisar Soluzindo berlokasi di DKI Jakarta Jakarta."
"Cari vendor Intisar Soluzindo","Intisar Soluzindo adalah vendor dengan status Registered, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Kode SBU: IN006."
"Berikan informasi lengkap tentang Intisar Soluzindo","Intisar Soluzindo adalah vendor dengan status Registered, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta Jakarta. Kode SBU: IN006."
"Siapa MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 54 Low Risk (Version 1). Kode SBU: BG003."
"Apa status rekanan MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS MARJAN TUGU PUTRA?","MARJAN TUGU PUTRA memiliki status CQSMS: Sub Kontraktor : 54 Low Risk (Version 1)."
"Cari vendor MARJAN TUGU PUTRA","MARJAN TUGU PUTRA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 54 Low Risk (Version 1). Kode SBU: BG003."
"Berikan informasi lengkap tentang MARJAN TUGU PUTRA","MARJAN TUGU PUTRA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 54 Low Risk (Version 1). Kode SBU: BG003."
"Siapa RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 41 Low Risk (Version 3). Industry: JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;. Kode SBU: IN002."
"Apa status rekanan RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA memiliki status CQSMS: Sub Kontraktor : 41 Low Risk (Version 3)."
"Apa industry key RAS OTOMASI INDONESIA?","RAS OTOMASI INDONESIA memiliki industry key: JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;."
"Cari vendor RAS OTOMASI INDONESIA","RAS OTOMASI INDONESIA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 41 Low Risk (Version 3). Industry: JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;. Kode SBU: IN002."
"Berikan informasi lengkap tentang RAS OTOMASI INDONESIA","RAS OTOMASI INDONESIA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 41 Low Risk (Version 3). Industry: JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;. Kode SBU: IN002."
"Siapa Lapi Ganesha Utama?","Lapi Ganesha Utama adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: AR002."
"Apa status rekanan Lapi Ganesha Utama?","Lapi Ganesha Utama memiliki status rekanan Registered."
"Apa bidang usaha Lapi Ganesha Utama?","Lapi Ganesha Utama bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi Lapi Ganesha Utama?","Lapi Ganesha Utama berlokasi di DKI Jakarta Jakarta."
"Cari vendor Lapi Ganesha Utama","Lapi Ganesha Utama adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: AR002."
"Berikan informasi lengkap tentang Lapi Ganesha Utama","Lapi Ganesha Utama adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: AR002."
"Siapa Zysco Internasional?","Zysco Internasional adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Timur East Java. Status CQSMS: Sewa Alat : 55 Low Risk (Version 1). Industry: TRUCK TRAILER & TRAILER LOWBOY / TRAILER LOWBED, SEWA. Kode SBU: BG009."
"Apa status rekanan Zysco Internasional?","Zysco Internasional memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha Zysco Internasional?","Zysco Internasional bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi."
"Dimana lokasi Zysco Internasional?","Zysco Internasional berlokasi di Jawa Timur East Java."
"Apa status CQSMS Zysco Internasional?","Zysco Internasional memiliki status CQSMS: Sewa Alat : 55 Low Risk (Version 1)."
"Apa industry key Zysco Internasional?","Zysco Internasional memiliki industry key: TRUCK TRAILER & TRAILER LOWBOY / TRAILER LOWBED, SEWA."
"Cari vendor Zysco Internasional","Zysco Internasional adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Timur East Java. Status CQSMS: Sewa Alat : 55 Low Risk (Version 1). Industry: TRUCK TRAILER & TRAILER LOWBOY / TRAILER LOWBED, SEWA. Kode SBU: BG009."
"Berikan informasi lengkap tentang Zysco Internasional","Zysco Internasional adalah vendor dengan status Rekanan Terseleksi Waskita, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Jawa Timur East Java. Status CQSMS: Sewa Alat : 55 Low Risk (Version 1). Industry: TRUCK TRAILER & TRAILER LOWBOY / TRAILER LOWBED, SEWA. Kode SBU: BG009."
"Siapa Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS001."
"Apa status rekanan Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera memiliki status rekanan Registered."
"Apa bidang usaha Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi Manasya Anugerah Sejahtera?","Manasya Anugerah Sejahtera berlokasi di DKI Jakarta Jakarta."
"Cari vendor Manasya Anugerah Sejahtera","Manasya Anugerah Sejahtera adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS001."
"Berikan informasi lengkap tentang Manasya Anugerah Sejahtera","Manasya Anugerah Sejahtera adalah vendor dengan status Registered, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS001."
"Siapa TEGUH PUTRA SEJAHTERA?","TEGUH PUTRA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Besar, berlokasi di Riau Riau. Status CQSMS: Sub Kontraktor : 51 Low Risk (Version 1). Kode SBU: BS002."
"Apa status rekanan TEGUH PUTRA SEJAHTERA?","TEGUH PUTRA SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha TEGUH PUTRA SEJAHTERA?","TEGUH PUTRA SEJAHTERA bergerak di bidang Sub Kontraktor Besar."
